,gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_00_14,a_15_24,a_25_44,a_45_64,a_65_oo,a_ongeh,a_gehuwd,a_gesch,a_verwed,a_nl_all,a_eur_al,a_neu_al,a_geb_nl,a_geb_eu,a_geb_ne,a_gbl_eu,a_gbl_ne,a_geb,p_geb,a_ste,p_ste,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_wozbag,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,a_opl_lg,a_opl_md,a_opl_hg,p_arb_pp,p_arb_wn,p_arb_zs,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_soz_wb,a_soz_ao,a_soz_ww,a_soz_ow,a_jz_tn,p_jz_tn,a_wmo_t,p_wmo_t,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad,paid_parking,predicted_paid_parking
0,BU03850001,3850001,Edam-Oude kom,Edam-Volendam,Buurt,BU03850001,1,2730,1320,1410,290,290,465,860,825,1130,1190,240,165,2255,170,305,2250,95,145,80,160,,,,,1350,500,470,370,2,4523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,1050,290,1,2222.0,95,,,,,,71,60,10,1135,1,3,1152,True,False
1,BU03850002,3850002,Edam-Industriegebied,Edam-Volendam,Buurt,BU03850002,1,275,135,135,35,45,45,90,65,145,110,15,5,225,25,20,225,15,5,10,15,,,,,120,40,35,50,"2,3",518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,135,80,"1,8",414.0,25,,,,,,55,53,3,1135,1,4,659,False,False
2,BU03850003,3850003,Edam-Zuid,Edam-Volendam,Buurt,BU03850003,1,1320,610,710,250,150,265,300,360,555,620,70,75,1035,220,70,1035,30,30,185,40,,,,,530,115,180,235,"2,5",3710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,415,100,1,1452.0,55,,,,,,38,36,2,1135,1,3,1454,False,False
3,BU03850004,3850004,Edam-Singelwijk,Edam-Volendam,Buurt,BU03850004,1,1750,845,900,250,230,305,475,480,775,675,175,120,1130,85,535,1135,40,210,40,325,,,,,775,300,225,255,"2,3",6123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,600,125,"0,9",2544.0,50,,,,,,29,29,0,1135,1,2,1635,False,True
4,BU03850005,3850005,Edam-Molenbuurt,Edam-Volendam,Buurt,BU03850005,1,935,485,455,115,150,180,325,165,465,375,75,25,785,35,120,780,20,55,15,70,,,,,420,150,115,155,"2,2",2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,320,105,1,1070.0,35,,,,,,46,40,6,1135,1,2,1696,False,True
5,BU03850006,3850006,Zeevangpolder,Edam-Volendam,Buurt,BU03850006,1,20,10,5,5,5,5,5,5,10,10,5,0,15,0,0,15,0,0,0,0,,,,,5,5,5,0,"2,4",13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,,,,135,131,5,1135,1,4,527,False,False
6,BU03850007,3850007,Broeckgouw,Edam-Volendam,Buurt,BU03850007,1,305,155,155,115,20,115,55,5,205,95,10,5,235,10,60,235,10,40,5,20,,,,,95,10,15,75,"3,2",1167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,85,20,"1,1",397.0,5,,,,,,29,26,3,1135,1,3,1388,False,False
7,BU03850008,3850008,Lange Weeren,Edam-Volendam,Buurt,BU03850008,1,15,10,5,0,5,5,0,5,5,0,0,0,10,0,0,10,0,0,0,0,,,,,5,5,0,0,"2,4",13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,0,,,,,,96,90,6,1135,2,4,593,False,False
8,BU03850101,3850101,Purmerpolder,Edam-Volendam,Buurt,BU03850101,1,110,65,45,10,25,10,45,25,55,55,5,5,105,5,0,105,5,0,5,0,,,,,40,10,10,20,"2,7",18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,55,20,,,10,,,,,,638,624,14,1481,1,5,131,False,False
9,BU03850201,3850201,Volendam-Oude kom,Edam-Volendam,Buurt,BU03850201,1,3275,1610,1665,330,340,765,920,930,1460,1260,285,275,3045,115,120,3040,50,45,65,80,,,,,1675,765,475,435,"1,9",4807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285,1010,275,"0,8",1884.0,55,,,,,,68,68,0,1131,1,3,1483,True,True
10,BU03850202,3850202,Volendam-Katham + Planetenbuurt,Edam-Volendam,Buurt,BU03850202,1,2070,1025,1050,280,135,475,370,815,760,1030,110,160,1895,55,120,1900,30,40,25,80,,,,,1000,335,415,250,"2,1",3878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,645,140,"0,8",1472.0,25,,,,,,55,53,1,1131,1,2,2065,False,True
11,BU03850203,3850203,Volendam-Blokgouw 1 en 2,Edam-Volendam,Buurt,BU03850203,1,2190,1080,1105,265,160,380,355,1025,685,1270,100,135,2000,55,135,2000,30,45,20,90,,,,,990,230,490,270,"2,2",5237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,725,165,"0,9",2134.0,30,,,,,,42,42,1,1132,1,2,1840,False,False
12,BU03850204,3850204,Volendam-Blokgouw 3,Edam-Volendam,Buurt,BU03850204,1,1280,670,610,140,115,290,535,200,495,665,75,50,1125,45,115,1125,25,40,15,70,,,,,540,130,195,220,"2,4",7378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,405,105,"0,9",2936.0,25,,,,,,19,17,1,1132,1,2,1758,False,True
13,BU03850205,3850205,"Volendam-Blokgouw 4, 5 en 6",Edam-Volendam,Buurt,BU03850205,1,1575,815,760,130,170,300,710,265,560,900,60,55,1525,25,30,1525,15,15,10,15,,,,,610,90,240,285,"2,6",7534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,535,135,"1,1",3217.0,20,,,,,,22,21,1,1132,1,3,1359,False,False
14,BU03850206,3850206,Volendam-Blokgouw 7 en 8,Edam-Volendam,Buurt,BU03850206,1,2260,1190,1070,175,560,360,995,170,1045,1075,105,40,2140,55,70,2135,30,40,25,30,,,,,735,80,165,490,"3,1",7876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,640,220,"1,2",2996.0,40,,,,,,33,29,4,1132,1,4,894,False,True
15,BU03850207,3850207,Volendam-Rozettenbuurt,Edam-Volendam,Buurt,BU03850207,1,1975,970,1010,370,145,505,385,575,865,845,105,160,1740,65,170,1740,35,70,30,100,,,,,915,345,285,285,"2,2",4567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,570,105,"0,7",1566.0,35,,,,,,45,43,2,1131,1,2,2039,False,True
16,BU03850208,3850208,Volendam-Bloemenbuurt,Edam-Volendam,Buurt,BU03850208,1,1485,725,760,295,130,420,275,375,680,580,95,135,1360,30,95,1360,15,30,15,70,,,,,650,220,180,245,"2,3",5918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,405,70,"0,7",1892.0,25,,,,,,25,25,0,1131,1,2,2067,False,True
17,BU03850209,3850209,Volendam-Industriegebied,Edam-Volendam,Buurt,BU03850209,1,105,60,45,10,10,20,35,35,40,50,10,5,95,5,0,95,0,0,5,5,,,,,45,15,15,15,"2,2",176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,275,175,,,15,,,,,,60,59,2,1131,1,3,1403,False,True
18,BU03850210,3850210,Volendam-Middengebied,Edam-Volendam,Buurt,BU03850210,1,3695,1895,1800,535,1125,440,1405,190,2000,1500,130,65,3540,70,90,3535,40,55,25,35,,,,,1135,210,130,795,"3,3",8088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,915,240,1,2528.0,60,,,,,,50,46,4,1132,1,2,1918,False,True
19,BU03850211,3850211,Lange Weeren,Edam-Volendam,Buurt,BU03850211,1,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,,,,,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,,,,92,90,2,1131,1,5,397,False,False
20,BU03850212,3850212,Broeckgouw,Edam-Volendam,Buurt,BU03850212,1,2825,1430,1395,915,120,1345,260,180,1805,865,80,70,2570,50,205,2570,30,110,20,95,,,,,1045,310,200,535,"2,7",6143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,725,205,"0,9",2029.0,35,,,,,,48,46,2,1132,1,3,1124,False,True
21,BU03850301,3850301,Beets,Edam-Volendam,Buurt,BU03850301,1,530,265,260,70,50,95,180,135,220,240,50,20,480,30,20,480,15,10,15,5,,,,,225,50,95,75,"2,3",134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,250,85,"1,5",86.0,75,,,,,,405,394,11,1475,1,5,52,False,False
22,BU03850401,3850401,Oosthuizen,Edam-Volendam,Buurt,BU03850401,1,1675,815,860,270,135,440,415,415,770,660,115,135,1370,90,215,1370,45,95,40,125,,,,,735,220,260,260,"2,2",281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,720,230,"1,3",159.0,105,,,,,,620,596,24,1474,1,5,355,True,False
23,BU03850402,3850402,De Watering,Edam-Volendam,Buurt,BU03850402,1,1950,975,980,280,245,425,600,405,890,850,145,65,1635,130,180,1640,75,95,55,85,,,,,800,195,275,330,"2,4",3288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,810,220,"1,3",1733.0,145,,,,,,62,59,2,1474,1,5,463,False,False
24,BU03850501,3850501,Warder,Edam-Volendam,Buurt,BU03850501,1,780,400,380,100,85,125,265,205,345,360,30,35,700,40,35,695,25,20,25,15,,,,,315,70,125,115,"2,4",76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,325,155,"1,5",47.0,40,,,,,,1082,1026,56,1473,1,5,98,False,False
25,BU03850601,3850601,Middelie,Edam-Volendam,Buurt,BU03850601,1,700,365,335,90,75,145,220,170,320,310,40,30,615,40,50,615,20,25,25,20,,,,,295,70,110,105,"2,4",92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,355,125,"1,6",62.0,40,,,,,,827,763,64,1472,1,5,66,False,False
26,BU03850701,3850701,Kwadijk,Edam-Volendam,Buurt,BU03850701,1,800,400,400,85,110,145,270,200,340,370,65,25,700,50,45,700,25,30,20,15,,,,,335,80,135,120,"2,4",151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,390,130,"1,5",98.0,60,,,,,,571,529,41,1471,1,5,341,False,False
27,BU03850801,3850801,Schardam,Edam-Volendam,Buurt,BU03850801,1,115,60,55,15,5,20,40,35,45,60,5,5,95,10,10,100,5,5,5,0,,,,,55,20,20,15,"2,2",45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,50,20,"1,4",29.0,10,,,,,,266,255,11,1476,1,5,21,False,False
28,BU03850901,3850901,Hobrede,Edam-Volendam,Buurt,BU03850901,1,170,85,85,15,15,25,60,50,65,85,15,10,150,10,5,155,5,0,5,5,,,,,75,15,35,25,"2,3",93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,70,35,"1,5",58.0,15,,,,,,193,182,11,1477,1,5,30,False,False
29,BU04150101,4150101,Purmerland,Landsmeer,Buurt,BU04150101,1,405,190,215,50,55,55,170,70,175,185,35,10,355,15,35,360,15,15,5,15,,,,,175,40,65,60,"2,4",169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,190,50,"1,4",99.0,30,,,,,,257,239,17,1451,1,5,95,False,False
30,BU04150201,4150201,Den Ilp,Landsmeer,Buurt,BU04150201,1,850,420,430,115,110,150,295,180,380,385,60,30,725,65,65,725,35,35,30,30,,,,,350,90,120,140,"2,4",326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,395,155,"1,6",211.0,55,,,,,,334,262,72,1127,1,5,94,False,False
31,BU04150301,4150301,Oude dorp,Landsmeer,Buurt,BU04150301,1,3085,1460,1620,510,395,610,905,665,1550,1125,240,165,2275,200,605,2270,115,305,85,300,,,,,1345,440,345,560,"2,3",6413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1095,205,1,2704.0,105,,,,,,50,48,2,1121,1,3,1081,False,True
32,BU04150302,4150302,Sportpark,Landsmeer,Buurt,BU04150302,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,,,,,0,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,,,,22,17,4,1121,1,3,1102,False,False
33,BU04150303,4150303,Luijendijk-zuid,Landsmeer,Buurt,BU04150303,1,1055,495,560,365,55,355,220,55,635,360,50,15,705,110,250,705,60,170,45,85,,,,,380,100,55,225,"2,8",3103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,285,130,"1,1",1220.0,40,,,,,,37,34,3,1121,1,3,1380,False,True
34,BU04150304,4150304,Havenzathe,Landsmeer,Buurt,BU04150304,1,1710,820,885,280,195,280,490,470,760,730,125,90,1335,140,235,1340,75,135,60,95,,,,,715,190,230,295,"2,4",3760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,650,175,"1,2",1813.0,100,,,,,,50,45,4,1121,1,3,1215,False,False
35,BU04150305,4150305,Luijendijk,Landsmeer,Buurt,BU04150305,1,2295,1125,1165,335,215,395,680,660,985,1025,180,100,1855,155,280,1855,85,145,70,140,,,,,1010,285,365,370,"2,3",9053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,890,205,"1,1",4313.0,85,,,,,,29,25,4,1121,1,3,1227,False,False
36,BU04150306,4150306,Buitengebied,Landsmeer,Buurt,BU04150306,1,650,325,330,125,70,130,215,110,325,285,20,20,500,95,55,505,25,30,70,25,,,,,255,60,85,115,"2,5",46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,260,115,"1,5",26.0,65,,,,,,1663,1422,241,1121,1,5,426,False,False
37,BU04150307,4150307,Twiske,Landsmeer,Buurt,BU04150307,1,5,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,,,,0,5,0,0,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,,,0,,,,,,146,92,54,1121,1,5,336,False,False
38,BU04150308,4150308,t Lint,Landsmeer,Buurt,BU04150308,1,1605,790,810,205,150,355,430,470,710,650,105,135,1300,120,180,1300,55,90,65,90,,,,,750,285,245,215,"2,1",2764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,635,215,"1,1",1474.0,80,,,,,,64,58,6,1121,1,3,1238,False,False
39,BU04310000,4310000,Kerkbuurt,Oostzaan,Buurt,BU04310000,1,7095,3430,3660,1030,850,1480,2070,1665,3160,3005,530,395,5755,430,915,5750,210,430,220,480,,,,,3125,1015,935,1180,"2,2",2042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655,2955,705,"1,2",1052.0,345,,,,,,407,347,60,1511,1,3,1187,False,False
40,BU04310001,4310001,Zuideinde,Oostzaan,Buurt,BU04310001,1,195,100,95,25,15,35,60,60,80,85,15,15,165,10,15,165,5,10,5,5,,,,,90,30,30,25,"2,1",192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,95,50,"1,6",146.0,5,,,,,,130,100,30,1511,3,4,933,False,False
41,BU04310002,4310002,Kerkstraat,Oostzaan,Buurt,BU04310002,1,760,395,360,110,95,145,255,155,340,335,50,40,610,40,105,615,25,60,20,45,,,,,320,95,100,130,"2,4",3769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,315,80,"1,2",1946.0,35,,,,,,21,20,1,1511,1,3,1363,False,False
42,BU04310003,4310003,De Haal en De Heul en Noordeinde,Oostzaan,Buurt,BU04310003,1,1645,840,805,335,170,360,530,255,815,710,75,50,1470,60,115,1470,35,75,25,40,,,,,610,110,200,300,"2,7",239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,660,225,"1,4",128.0,100,,,,,,1050,688,362,1511,1,5,326,False,False
43,BU04390101,4390101,Binnenstad,Purmerend,Buurt,BU04390101,1,1800,920,880,105,235,700,395,365,1070,395,230,105,1165,210,425,1165,60,180,150,250,,,,,1200,740,305,150,"1,5",6694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,650,120,"0,6",2859.0,65,,,,,,31,27,4,1441,1,1,2876,True,True
